2025-11-20 13:26:26 | INFO     | auth.user_manager:_load_data:168 | Loaded 1 users and 0 sessions
2025-11-20 13:26:26 | INFO     | auth.user_manager:_load_data:168 | Loaded 1 users and 0 sessions
2025-11-20 13:26:26 | INFO     | auth.session_handler:__init__:53 | 会话处理器初始化完成，超时时间: 3600秒
2025-11-20 13:26:26 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 13:26:26 | INFO     | storage.user_data:_load_data:47 | 已加载 1 个用户和 0 个会话
2025-11-20 13:26:33 | INFO     | auth.session_handler:create_session:91 | 创建新会话: r5iFZhsEUUQQbYFNzHMNXIW9fA4V6Lda8q53bTtoT6E for user: user_000001
2025-11-20 13:26:33 | INFO     | interface.cli_interface:user_login:250 | 用户 test 登录成功
2025-11-20 13:27:29 | INFO     | utils.config:_load_external_model_config:117 | 已从外部文件加载模型配置: config/model_config.json
2025-11-20 13:27:29 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 14:21:59 | INFO     | auth.user_manager:_load_data:168 | Loaded 1 users and 0 sessions
2025-11-20 14:21:59 | INFO     | auth.user_manager:_load_data:168 | Loaded 1 users and 0 sessions
2025-11-20 14:21:59 | INFO     | auth.session_handler:__init__:53 | 会话处理器初始化完成，超时时间: 3600秒
2025-11-20 14:21:59 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 14:21:59 | INFO     | storage.user_data:_load_data:47 | 已加载 1 个用户和 0 个会话
2025-11-20 14:22:04 | INFO     | auth.session_handler:create_session:91 | 创建新会话: Q7jk5hbQ1R47Q8C2yyIGHp2exo8I5SmICfmcwBbQXco for user: user_000001
2025-11-20 14:22:04 | INFO     | interface.cli_interface:user_login:251 | 用户 test 登录成功
2025-11-20 14:22:49 | INFO     | utils.config:_load_external_model_config:117 | 已从外部文件加载模型配置: config/model_config.json
2025-11-20 14:22:49 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 14:25:49 | INFO     | auth.user_manager:_load_data:168 | Loaded 1 users and 0 sessions
2025-11-20 14:25:49 | INFO     | auth.user_manager:_load_data:168 | Loaded 1 users and 0 sessions
