2025-11-20 13:27:29 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 13:27:29 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 心内科 (心内科)
2025-11-20 13:27:29 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 心内科
2025-11-20 13:27:29 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 心内科 初始化成功
2025-11-20 13:27:29 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 肾内科 (肾内科)
2025-11-20 13:27:29 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 肾内科
2025-11-20 13:27:29 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 肾内科 初始化成功
2025-11-20 13:27:29 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 内分泌科 (内分泌科)
2025-11-20 13:27:29 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 内分泌科
2025-11-20 13:27:29 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 内分泌科 初始化成功
2025-11-20 13:27:30 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 呼吸与危重症医学科 (呼吸与危重症医学科)
2025-11-20 13:27:30 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 呼吸与危重症医学科
2025-11-20 13:27:30 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 呼吸与危重症医学科 初始化成功
2025-11-20 13:27:30 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 营养科 (营养科)
2025-11-20 13:27:30 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 营养科
2025-11-20 13:27:30 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 营养科 初始化成功
2025-11-20 13:27:30 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 临床药师 (临床药师)
2025-11-20 13:27:30 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 临床药师
2025-11-20 13:27:30 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 临床药师 初始化成功
2025-11-20 13:27:30 | INFO     | discussion.discussion_engine:_initialize_agents:209 | 成功初始化 6 个智能体（共选择 6 个）
2025-11-20 13:27:30 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: LogicAgent (逻辑检查智能体)
2025-11-20 13:27:30 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: DecisionMaker (决策专家智能体)
2025-11-20 13:27:30 | INFO     | discussion.discussion_engine:initialize_discussion:103 | 逻辑检查和决策智能体初始化成功
2025-11-20 13:27:30 | INFO     | discussion.discussion_engine:initialize_discussion:110 | 讨论引擎初始化成功，选择了 6 个智能体
2025-11-20 13:27:30 | INFO     | interface.cli_interface:run_discussion:522 | 开始讨论，参与智能体: ['心内科', '肾内科', '内分泌科', '呼吸与危重症医学科', '营养科', '临床药师']
2025-11-20 13:27:30 | INFO     | discussion.discussion_engine:start_discussion:234 | 开始多智能体临床讨论
2025-11-20 13:27:30 | INFO     | discussion.discussion_engine:start_discussion:244 | 开始第 1 轮讨论
2025-11-20 13:27:53 | ERROR    | discussion.discussion_engine:_handle_user_intervention:457 | 处理用户介入时发生错误: 'str' object has no attribute 'get'
2025-11-20 13:27:54 | INFO     | discussion.discussion_engine:start_discussion:244 | 开始第 2 轮讨论
2025-11-20 13:28:16 | INFO     | discussion.discussion_engine:start_discussion:244 | 开始第 3 轮讨论
2025-11-20 13:28:37 | INFO     | discussion.discussion_engine:_generate_final_summary:121 | 生成最终讨论汇总
2025-11-20 13:29:01 | INFO     | interface.cli_interface:run_discussion:526 | 讨论结果类型: <class 'dict'>
2025-11-20 13:29:01 | INFO     | interface.cli_interface:run_discussion:527 | 讨论结果键: ['metadata', 'medical_context', 'discussion_process', 'clinical_summary', 'evaluation_metrics']
2025-11-20 13:29:01 | INFO     | storage.discussion_storage:save_discussion:73 | 讨论记录已保存: data\discussions\json\user_000001_146975b1_20251120_132901.json
2025-11-20 13:29:01 | INFO     | interface.cli_interface:run_discussion:549 | 讨论记录已保存，ID: data\discussions\json\user_000001_146975b1_20251120_132901.json
2025-11-20 13:29:23 | ERROR    | storage.discussion_storage:export_to_html:223 | 导出HTML失败: ' font-family'
2025-11-20 13:29:23 | ERROR    | storage.discussion_storage:export_discussion:536 | 导出失败: ' font-family'
2025-11-20 14:22:49 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 14:22:49 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 心内科 (心内科)
2025-11-20 14:22:49 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 心内科
2025-11-20 14:22:49 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 心内科 初始化成功
2025-11-20 14:22:49 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 肾内科 (肾内科)
2025-11-20 14:22:49 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 肾内科
2025-11-20 14:22:49 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 肾内科 初始化成功
2025-11-20 14:22:50 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 内分泌科 (内分泌科)
2025-11-20 14:22:50 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 内分泌科
2025-11-20 14:22:50 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 内分泌科 初始化成功
2025-11-20 14:22:50 | INFO     | discussion.discussion_engine:_initialize_agents:209 | 成功初始化 3 个智能体（共选择 3 个）
2025-11-20 14:22:50 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: LogicAgent (逻辑检查智能体)
2025-11-20 14:22:50 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: DecisionMaker (决策专家智能体)
2025-11-20 14:22:50 | INFO     | discussion.discussion_engine:initialize_discussion:103 | 逻辑检查和决策智能体初始化成功
2025-11-20 14:22:50 | INFO     | discussion.discussion_engine:initialize_discussion:110 | 讨论引擎初始化成功，选择了 3 个智能体
2025-11-20 14:22:50 | INFO     | interface.cli_interface:run_discussion:602 | 开始讨论，参与智能体: ['心内科', '肾内科', '内分泌科']
2025-11-20 14:22:50 | INFO     | discussion.discussion_engine:start_discussion:235 | 开始多智能体临床讨论
2025-11-20 14:22:50 | INFO     | discussion.discussion_engine:start_discussion:245 | 开始第 1 轮讨论
2025-11-20 14:23:15 | ERROR    | discussion.discussion_engine:_get_user_intervention:459 | 获取用户介入失败: CLIInterface.get_user_input() got an unexpected keyword argument 'required'
2025-11-20 14:23:40 | ERROR    | discussion.discussion_engine:_get_user_intervention:459 | 获取用户介入失败: CLIInterface.get_user_input() got an unexpected keyword argument 'required'
2025-11-20 14:23:51 | ERROR    | discussion.discussion_engine:start_discussion:297 | 讨论过程中发生错误: 'ClinicalDiscussionEngine' object has no attribute '_check_user_intervention'
2025-11-20 14:23:51 | INFO     | interface.cli_interface:run_discussion:606 | 讨论结果类型: <class 'dict'>
2025-11-20 14:23:51 | INFO     | interface.cli_interface:run_discussion:608 | 讨论结果键: ['metadata', 'error']
2025-11-20 14:23:51 | INFO     | storage.discussion_storage:save_discussion:739 | 讨论记录已保存: data\discussions\json\user_000001_31b43742_20251120_142351.json
2025-11-20 14:23:51 | INFO     | interface.cli_interface:run_discussion:645 | 讨论记录已保存，ID: data\discussions\json\user_000001_31b43742_20251120_142351.json
2025-11-20 14:23:51 | ERROR    | interface.cli_interface:start_new_discussion:428 | 讨论错误: 'ClinicalCLI' object has no attribute 'export_discussion_result'
2025-11-20 14:26:17 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 14:26:18 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 心内科 (心内科)
2025-11-20 14:26:18 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 心内科
2025-11-20 14:26:18 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 心内科 初始化成功
2025-11-20 14:26:18 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 肾内科 (肾内科)
2025-11-20 14:26:18 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 肾内科
2025-11-20 14:26:18 | DEBUG    | discussion.discussion_engine:_initialize_agents:205 | 智能体 肾内科 初始化成功
2025-11-20 14:26:18 | INFO     | discussion.discussion_engine:_initialize_agents:209 | 成功初始化 2 个智能体（共选择 2 个）
2025-11-20 14:26:18 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: LogicAgent (逻辑检查智能体)
2025-11-20 14:26:18 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: DecisionMaker (决策专家智能体)
2025-11-20 14:26:18 | INFO     | discussion.discussion_engine:initialize_discussion:103 | 逻辑检查和决策智能体初始化成功
2025-11-20 14:26:18 | INFO     | discussion.discussion_engine:initialize_discussion:110 | 讨论引擎初始化成功，选择了 2 个智能体
2025-11-20 14:26:18 | INFO     | interface.cli_interface:run_discussion:602 | 开始讨论，参与智能体: ['心内科', '肾内科']
2025-11-20 14:26:18 | INFO     | discussion.discussion_engine:start_discussion:235 | 开始多智能体临床讨论
2025-11-20 14:26:18 | INFO     | discussion.discussion_engine:start_discussion:245 | 开始第 1 轮讨论
2025-11-20 17:26:32 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 17:26:32 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 心内科 (心内科)
2025-11-20 17:26:32 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 心内科
2025-11-20 17:26:32 | DEBUG    | discussion.discussion_engine:_initialize_agents:204 | 智能体 心内科 初始化成功
2025-11-20 17:26:33 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 肾内科 (肾内科)
2025-11-20 17:26:33 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 肾内科
2025-11-20 17:26:33 | DEBUG    | discussion.discussion_engine:_initialize_agents:204 | 智能体 肾内科 初始化成功
2025-11-20 17:26:33 | INFO     | discussion.discussion_engine:_initialize_agents:208 | 成功初始化 2 个智能体（共选择 2 个）
2025-11-20 17:26:33 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: LogicAgent (逻辑检查智能体)
2025-11-20 17:26:33 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: DecisionMaker (决策专家智能体)
2025-11-20 17:26:33 | INFO     | discussion.discussion_engine:initialize_discussion:102 | 逻辑检查和决策智能体初始化成功
2025-11-20 17:26:33 | INFO     | discussion.discussion_engine:initialize_discussion:109 | 讨论引擎初始化成功，选择了 2 个智能体
2025-11-20 17:26:33 | INFO     | interface.cli_interface:run_discussion:468 | 开始讨论，参与智能体: ['心内科', '肾内科']
2025-11-20 17:26:33 | INFO     | discussion.discussion_engine:start_discussion:234 | 开始多智能体临床讨论
2025-11-20 17:26:33 | INFO     | discussion.discussion_engine:start_discussion:244 | 开始第 1 轮讨论
2025-11-20 17:27:07 | INFO     | discussion.discussion_engine:start_discussion:244 | 开始第 2 轮讨论
2025-11-20 17:34:36 | INFO     | discussion.discussion_engine:start_discussion:244 | 开始第 3 轮讨论
2025-11-20 17:42:07 | INFO     | agents.agent_registry:load_custom_agents:189 | Loaded 0 custom agents from file
2025-11-20 17:42:07 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 心内科 (心内科)
2025-11-20 17:42:07 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 心内科
2025-11-20 17:42:07 | DEBUG    | discussion.discussion_engine:_initialize_agents:204 | 智能体 心内科 初始化成功
2025-11-20 17:42:07 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: 肾内科 (肾内科)
2025-11-20 17:42:07 | INFO     | agents.specialty_agents:__init__:53 | 初始化专科智能体: 肾内科
2025-11-20 17:42:07 | DEBUG    | discussion.discussion_engine:_initialize_agents:204 | 智能体 肾内科 初始化成功
2025-11-20 17:42:07 | INFO     | discussion.discussion_engine:_initialize_agents:208 | 成功初始化 2 个智能体（共选择 2 个）
2025-11-20 17:42:08 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: LogicAgent (逻辑检查智能体)
2025-11-20 17:42:08 | INFO     | agents.base_agent:__init__:132 | 初始化智能体: DecisionMaker (决策专家智能体)
2025-11-20 17:42:08 | INFO     | discussion.discussion_engine:initialize_discussion:102 | 逻辑检查和决策智能体初始化成功
2025-11-20 17:42:08 | INFO     | discussion.discussion_engine:initialize_discussion:109 | 讨论引擎初始化成功，选择了 2 个智能体
2025-11-20 17:42:08 | INFO     | interface.cli_interface:run_discussion:468 | 开始讨论，参与智能体: ['心内科', '肾内科']
2025-11-20 17:42:08 | ERROR    | discussion.discussion_engine:_user_input_listener:591 | 用户输入监听错误: CLIInterface.get_user_input() got an unexpected keyword argument 'timeout'
2025-11-20 17:42:08 | INFO     | discussion.discussion_engine:start_discussion:234 | 开始多智能体临床讨论
2025-11-20 17:42:08 | INFO     | discussion.discussion_engine:start_discussion:244 | 开始第 1 轮讨论
2025-11-20 17:44:39 | INFO     | discussion.discussion_engine:_handle_user_intervention:484 | 处理用户介入: interrupt
2025-11-20 17:44:40 | INFO     | interface.cli_interface:run_discussion:472 | 讨论结果类型: <class 'dict'>
2025-11-20 17:44:40 | INFO     | interface.cli_interface:run_discussion:474 | 讨论结果键: ['metadata', 'error']
2025-11-20 17:44:40 | INFO     | storage.discussion_storage:save_discussion:739 | 讨论记录已保存: data\discussions\json\user_000001_f1d9d591_20251120_174440.json
